"Инспектор, сменивший статус","Код НО инспектора, сменившего стат",Score,Experience,Qualification,p_SCHEMA,p_RISK_LONG,p_RISK_SHORT,p_TASK
11111-iyri-uwwjst-chzuradt,3700,0.49473684210526314,0.18727005942368125,0.6820069015289444,0.0,0.0,0.5,0.5
11125-pwzz-fygsdc-pkejzjik,2100,0.7733333333333333,0.4753571532049581,1.2486904865382913,0.5,0.5,0.0,0.0
11130-paro-ajcqzn-ceqdxcxw,6608,0.0,0.36599697090570255,0.36599697090570255,0.0,0.0,0.5,0.5
11131-sfab-goldts-zajlmqic,1100,0.23,0.2993292420985183,0.5293292420985183,0.0,0.0,0.5,0.5
11132-fgon-zinrmu-koxfcmwo,2632,0.0,0.07800932022121826,0.07800932022121826,0.0,0.0,0.5,0.5
11139-ubnf-onzfkc-pbglsocy,2308,0.0,0.07799726016810132,0.07799726016810132,0.0,0.0,0.5,0.5
11144-drfl-uxzbft-hnxymdov,9303,0.365,0.02904180608409973,0.3940418060840997,0.0,0.0,0.5,0.5
11154-slzs-ahaxfb-jabdsspi,9977,0.445,0.4330880728874676,0.8780880728874676,0.5,0.5,0.0,0.0
11161-kqsd-hmynks-uhahutyr,273,0.37127659574468086,0.3005575058716044,0.6718341016162852,0.0,0.0,0.5,0.5
11175-eocs-zmmcil-kzkmaqjj,700,0.0,0.35403628889802274,0.35403628889802274,0.0,0.0,0.5,0.5
11176-kxog-aucaik-pdrmycbu,6456,0.0,0.010292247147901223,0.010292247147901223,0.0,0.0,0.5,0.5
11197-dpvs-dyucui-dpdzltmr,7453,0.405,0.48495492608099716,0.8899549260809971,0.5,0.5,0.0,0.0
11201-udts-hdcprr-xrxutlrz,3100,0.63,0.41622132040021087,1.0462213204002109,0.5,0.5,0.0,0.0
11223-rxnp-hpxzzz-ehfkumzg,1900,0.5,0.10616955533913808,0.6061695553391381,0.0,0.0,0.5,0.5
11225-cvmq-gkzxrh-afonkfdt,1400,0.33,0.09091248360355031,0.4209124836035503,0.0,0.0,0.5,0.5
11241-dcjo-hrzfup-zzlktiya,5919,0.23,0.09170225492671691,0.3217022549267169,0.0,0.0,0.5,0.5
11242-dimz-xepqui-nqcrbbsr,7300,0.0,0.15212112147976886,0.15212112147976886,0.0,0.0,0.5,0.5
11244-ikgu-imudgm-ljwsztfs,2365,0.42166666666666663,0.2623782158161189,0.6840448824827856,0.0,0.0,0.5,0.5
11248-dpwd-mvrhwa-skvgmyyi,400,0.0,0.21597250932105788,0.21597250932105788,0.0,0.0,0.5,0.5
11263-fubo-uwlnjj-kkozdohr,261,0.46,0.14561457009902096,0.605614570099021,0.0,0.0,0.5,0.5
11263-mgad-ocfmlp-ogzlnfqh,268,0.0,0.30592644736118974,0.30592644736118974,0.0,0.0,0.5,0.5
11264-qszn-doegje-ezzglkmu,1674,0.18,0.06974693032602092,0.2497469303260209,0.0,0.0,0.5,0.5
11264-qtzs-ntvzkv-gnejmslq,9406,0.0,0.14607232426760908,0.14607232426760908,0.0,0.0,0.5,0.5
11267-slkv-dqofhh-cfkyacor,5099,0.45,0.18318092164684585,0.6331809216468458,0.0,0.0,0.5,0.5
11267-supm-ilnilk-gkbfnkcv,7730,0.5,0.22803499210851796,0.728034992108518,0.5,0.5,0.0,0.0
11288-zzfl-cebqxs-havxklsg,7850,0.46,0.3925879806965068,0.8525879806965069,0.5,0.5,0.0,0.0
11298-odeg-obmcne-gqxshjug,3300,0.3425,0.09983689107917987,0.4423368910791799,0.0,0.0,0.5,0.5
11304-kljm-iwzuuf-ewysztqd,4217,0.0,0.2571172192068058,0.2571172192068058,0.0,0.0,0.5,0.5
11304-ldgh-fqpntp-mcrmhlmh,8700,0.0,0.29620728443102123,0.29620728443102123,0.0,0.0,0.5,0.5
11306-gbaa-aagxrz-ulufriph,4300,0.6533333333333333,0.023225206359998862,0.6765585396933322,0.0,0.0,0.5,0.5
11307-ekjb-lcatmr-uhezqffc,1000,0.0,0.3037724259507192,0.3037724259507192,0.0,0.0,0.5,0.5
11308-jzqh-jdppbq-gfsywbnw,9110,0.4677777777777778,0.08526206184364576,0.5530398396214236,0.0,0.0,0.5,0.5
11309-jnwv-atvdqp-ipgqoqoz,4246,0.5,0.03252579649263976,0.5325257964926398,0.0,0.0,0.5,0.5
11318-dqhg-svikhj-pszgqatg,2369,0.0,0.4744427686266666,0.4744427686266666,0.0,0.0,0.5,0.5
11319-hkbi-dpdtiz-pvurwqdp,1500,0.568,0.4828160165372797,1.0508160165372797,0.5,0.5,0.0,0.0
11332-enug-yjbskt-jqatalru,5638,0.55,0.40419867405823057,0.9541986740582307,0.5,0.5,0.0,0.0
11333-hjrw-yskxap-ktgpuquh,5614,0.23,0.15230688458668534,0.3823068845866854,0.0,0.0,0.5,0.5
11341-vakq-zpnsze-fdixbtbf,7300,0.23,0.048836057003191935,0.2788360570031919,0.0,0.0,0.5,0.5
11341-zpgx-decjkk-jqbkpqer,7451,0.0,0.34211651325607845,0.34211651325607845,0.0,0.0,0.5,0.5
11350-foel-xdpgrl-gpuwteie,5100,0.615,0.22007624686980065,0.8350762468698006,0.5,0.5,0.0,0.0
11350-mgyo-iucftz-nsfofzul,4212,0.5,0.06101911742238941,0.5610191174223894,0.0,0.0,0.5,0.5
11363-rocy-eqajod-lguosmns,7449,0.5920000000000001,0.2475884550556351,0.8395884550556352,0.5,0.5,0.0,0.0
11365-cgze-ggvtdh-wvhzqcbd,5043,0.0,0.017194260557609198,0.017194260557609198,0.0,0.0,0.5,0.5
11366-lwwe-kjmnxr-jipnivgi,2361,0.13666666666666666,0.45466020103939103,0.5913268677060577,0.0,0.0,0.5,0.5
11367-sbhv-ywzapm-mwxeymaz,2461,0.42666666666666664,0.12938999080000846,0.5560566574666751,0.0,0.0,0.5,0.5
11375-vltp-clrriw-pklwgoel,5610,0.0,0.331261142176991,0.331261142176991,0.0,0.0,0.5,0.5
11380-slgp-erkzhi-ixtebpmo,5406,0.34,0.15585553804470548,0.4958555380447055,0.0,0.0,0.5,0.5
11382-xtyt-rdtcjk-pzmvbsou,1700,0.24222222222222223,0.2600340105889054,0.5022562328111276,0.0,0.0,0.5,0.5
11383-ltxk-czjhhs-sowoibss,3849,0.29,0.2733551396716398,0.5633551396716399,0.0,0.0,0.5,0.5
11384-wxzq-hdbqic-ubcqzzie,4727,0.5,0.09242722776276352,0.5924272277627636,0.0,0.0,0.5,0.5
11395-fiuc-jigqxs-fwmkkjrw,1300,0.5166666666666666,0.4847923138822793,1.001458980548946,0.5,0.5,0.0,0.0
11407-ohfg-kkcqpi-uteeozqb,6439,0.14333333333333334,0.3875664116805573,0.5308997450138906,0.0,0.0,0.5,0.5
11416-yqhl-xkzdsn-hjhetlbj,7606,0.46,0.46974947078209456,0.9297494707820946,0.5,0.5,0.0,0.0
11417-eovg-tmhqnk-rmxwnotl,500,0.2477777777777778,0.4474136752138244,0.6951914529916022,0.0,0.0,0.5,0.5
11428-vquq-uvidfa-nbclpneo,1800,0.39083333333333337,0.29894998940554257,0.6897833227388759,0.0,0.0,0.5,0.5
11433-ysww-qhcmsl-gnxgvixr,4727,0.23,0.4609371175115584,0.6909371175115584,0.0,0.0,0.5,0.5
11441-adti-lnivmo-wnmcirql,7606,0.0,0.04424625102595975,0.04424625102595975,0.0,0.0,0.5,0.5
11453-koxy-pjpqfq-lscbveqg,800,0.0,0.0979914312095726,0.0979914312095726,0.0,0.0,0.5,0.5
11453-qlup-xcgopu-lzxbsiap,4900,0.46,0.022613644455269033,0.48261364445526905,0.0,0.0,0.5,0.5
11456-lgeb-aluzry-vtjilibt,2700,0.45,0.16266516538163217,0.6126651653816322,0.0,0.0,0.5,0.5
11466-tmqu-onllpz-hsdzlbte,5405,0.4842857142857143,0.194338644844741,0.6786243591304553,0.0,0.0,0.5,0.5
11469-ohzw-tuqljl-zngwlrwq,3200,0.49833333333333335,0.13567451588694796,0.6340078492202813,0.0,0.0,0.5,0.5
